                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2001,                 3.6305,                 3.3567,                0.30095,                0.21374,                0.18948,                0.05281,                 2.4762,                 2.9374,                 2.7836,              0.0006625,              0.0006625,              0.0006625
                      2,                 2.4268,                 2.0979,                  2.385,                0.45471,                0.60763,                0.51627,                0.18044,                 2.2556,                 1.6935,                 2.4278,              0.0012634,              0.0012634,              0.0012634
                      3,                 2.3598,                 1.7465,                 2.2932,                0.06539,                0.72824,                0.31159,                0.09818,                 2.4991,                 3.0198,                 2.7627,              0.0017982,              0.0017982,              0.0017982
                      4,                 2.2746,                 1.6332,                  2.227,                0.53544,                0.59084,                0.53368,                0.18099,                 2.2736,                 1.7028,                 2.4078,               0.001703,               0.001703,               0.001703
                      5,                 2.2365,                 1.5213,                 2.1786,                0.68139,                0.62036,                0.66675,                0.23796,                 2.2052,                 1.5534,                 2.3512,               0.001604,               0.001604,               0.001604
                      6,                 2.1967,                  1.512,                 2.1677,                0.59536,                0.60651,                0.58066,                0.18303,                 2.2893,                 1.4874,                 2.4129,               0.001505,               0.001505,               0.001505
                      7,                 2.1996,                 1.4497,                 2.1555,                0.78366,                0.77863,                0.79757,                0.27428,                 2.1993,                 1.3466,                 2.3527,               0.001406,               0.001406,               0.001406
                      8,                 2.1694,                  1.432,                 2.1185,                0.73704,                0.66565,                0.72491,                0.25244,                  2.212,                 1.4326,                 2.3485,               0.001307,               0.001307,               0.001307
                      9,                 2.1521,                 1.3576,                 2.1196,                0.84204,                0.75725,                0.80847,                0.29022,                 2.1415,                 1.2513,                 2.2991,               0.001208,               0.001208,               0.001208
                     10,                 2.1357,                 1.3448,                 2.0961,                0.80145,                0.73893,                0.78165,                0.27468,                 2.1552,                 1.3359,                 2.3148,               0.001109,               0.001109,               0.001109
                     11,                 2.1172,                 1.2948,                 2.2861,                0.84995,                0.81288,                0.85311,                0.31271,                 2.1425,                   1.27,                 2.2962,                0.00101,                0.00101,                0.00101
                     12,                 2.1032,                 1.2651,                 2.2759,                0.81998,                0.62588,                0.71452,                0.24848,                 2.1923,                  1.475,                 2.3334,               0.000911,               0.000911,               0.000911
                     13,                  2.095,                  1.238,                 2.2547,                0.71189,                0.67147,                0.68703,                0.23266,                 2.2069,                 1.3552,                 2.3502,               0.000812,               0.000812,               0.000812
                     14,                 2.0806,                 1.2102,                 2.2697,                0.87425,                0.77481,                0.84841,                0.31204,                 2.1447,                 1.2457,                 2.2785,               0.000713,               0.000713,               0.000713
                     15,                  2.067,                 1.2058,                 2.2415,                0.86386,                0.76531,                0.82945,                0.31008,                 2.1282,                 1.2403,                 2.2729,               0.000614,               0.000614,               0.000614
                     16,                 2.0659,                 1.1766,                 2.2311,                0.89369,                0.72824,                0.83293,                0.30878,                 2.1548,                 1.2457,                 2.2857,               0.000515,               0.000515,               0.000515
                     17,                 2.0653,                 1.1606,                 2.2264,                 0.8649,                0.73305,                0.80865,                0.29195,                 2.1293,                 1.2547,                 2.2788,               0.000416,               0.000416,               0.000416
                     18,                 2.0363,                 1.1473,                 2.2229,                0.87439,                0.78645,                0.83916,                0.31293,                 2.1234,                 1.2322,                   2.27,               0.000317,               0.000317,               0.000317
                     19,                 2.0446,                 1.1355,                 2.2341,                0.88772,                0.82084,                0.86956,                0.32683,                 2.1072,                 1.1812,                 2.2522,               0.000218,               0.000218,               0.000218
                     20,                 2.0389,                 1.1182,                  2.223,                0.88769,                0.78168,                0.83885,                0.30297,                 2.1399,                  1.224,                 2.2842,               0.000119,               0.000119,               0.000119
