                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1122,                 1.2698,                 2.0516,                 0.8055,                0.71603,                0.77993,                0.27514,                 2.1274,                 1.3542,                  2.285,              0.0006625,              0.0006625,              0.0006625
                      2,                 2.1187,                 1.3431,                 2.0663,                0.86108,                 0.7084,                0.79014,                0.29835,                 2.1385,                 1.3105,                 2.2981,              0.0012634,              0.0012634,              0.0012634
                      3,                 2.1402,                 1.3015,                 2.0861,                0.77359,                0.70076,                0.74527,                0.24356,                 2.2169,                 1.2989,                 2.3643,              0.0017982,              0.0017982,              0.0017982
                      4,                 2.1201,                 1.3617,                 2.0794,                0.78287,                0.61985,                0.70989,                0.25396,                 2.1695,                 1.5212,                 2.3221,               0.001703,               0.001703,               0.001703
                      5,                 2.1006,                 1.3033,                 2.0579,                 0.7872,                0.65344,                0.71658,                0.25202,                   2.17,                 1.4242,                 2.3277,               0.001604,               0.001604,               0.001604
                      6,                 2.1015,                 1.2958,                 2.0768,                0.76716,                0.73946,                0.74731,                 0.2413,                 2.2267,                 1.3027,                 2.3813,               0.001505,               0.001505,               0.001505
                      7,                 2.1029,                 1.2585,                   2.07,                0.86889,                0.83975,                0.87696,                0.31538,                 2.1417,                 1.1861,                 2.3017,               0.001406,               0.001406,               0.001406
                      8,                 2.0771,                 1.2721,                 2.0383,                 0.7825,                0.70076,                0.76146,                0.27969,                 2.1562,                 1.3295,                 2.3033,               0.001307,               0.001307,               0.001307
                      9,                 2.0844,                 1.2388,                 2.0543,                 0.7698,                0.70382,                 0.7526,                0.26461,                 2.1401,                 1.3062,                 2.2946,               0.001208,               0.001208,               0.001208
                     10,                   2.06,                 1.2368,                  2.036,                 0.8711,                0.72672,                0.81696,                0.30095,                 2.1642,                 1.2664,                  2.308,               0.001109,               0.001109,               0.001109
                     11,                 2.0508,                 1.1601,                  2.226,                0.81323,                0.73787,                0.78246,                0.28449,                 2.1545,                 1.2532,                 2.3069,                0.00101,                0.00101,                0.00101
                     12,                 2.0401,                 1.1569,                 2.2261,                0.80723,                0.79542,                0.79856,                0.27523,                 2.1869,                 1.2244,                 2.3272,               0.000911,               0.000911,               0.000911
                     13,                 2.0424,                 1.1393,                 2.2079,                0.77612,                0.72511,                0.74358,                 0.2462,                 2.1864,                 1.3163,                 2.3324,               0.000812,               0.000812,               0.000812
                     14,                 2.0255,                 1.1111,                 2.2275,                0.86514,                0.79331,                0.85442,                0.30568,                  2.149,                 1.2025,                 2.2789,               0.000713,               0.000713,               0.000713
                     15,                 2.0298,                 1.1076,                 2.2073,                 0.8431,                 0.7084,                0.80253,                0.29986,                 2.1595,                 1.2858,                 2.2896,               0.000614,               0.000614,               0.000614
                     16,                 2.0124,                 1.0815,                 2.1924,                0.87871,                0.75725,                0.82018,                0.29907,                  2.124,                 1.1952,                 2.2716,               0.000515,               0.000515,               0.000515
                     17,                 2.0119,                 1.0776,                 2.1843,                 0.8585,                0.76794,                 0.8169,                0.29393,                 2.1354,                 1.1901,                 2.2861,               0.000416,               0.000416,               0.000416
                     18,                 2.0075,                 1.0624,                 2.1934,                0.88607,                0.79237,                0.84684,                0.31261,                 2.1511,                 1.1704,                 2.2856,               0.000317,               0.000317,               0.000317
                     19,                 2.0069,                  1.056,                 2.2063,                0.89814,                 0.8077,                 0.8654,                0.32552,                 2.1172,                 1.1629,                 2.2586,               0.000218,               0.000218,               0.000218
                     20,                 2.0008,                 1.0542,                 2.1921,                0.87704,                0.77405,                0.81505,                0.29858,                 2.1359,                 1.2113,                 2.2834,               0.000119,               0.000119,               0.000119
