                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0888,                 1.1856,                 2.0147,                0.86861,                0.71603,                0.78823,                 0.2894,                 2.1603,                 1.2466,                 2.3026,             0.00066321,             0.00066321,             0.00066321
                      2,                 2.0914,                 1.2277,                 2.0177,                0.81205,                0.82455,                0.81844,                0.27882,                 2.1968,                 1.1911,                 2.3319,              0.0012641,              0.0012641,              0.0012641
                      3,                 2.1175,                 1.2524,                 2.0248,                0.87334,                0.75795,                0.81055,                0.29088,                 2.1332,                 1.2305,                 2.2945,              0.0017989,              0.0017989,              0.0017989
                      4,                 2.1031,                 1.2386,                 2.0467,                0.79165,                0.78779,                0.81402,                0.28053,                 2.1747,                 1.2925,                 2.3195,               0.001703,               0.001703,               0.001703
                      5,                 2.0818,                 1.2444,                 2.0347,                 0.8351,                0.68397,                0.76205,                0.26955,                 2.2289,                 1.3027,                 2.3638,               0.001604,               0.001604,               0.001604
                      6,                 2.0821,                 1.2396,                 2.0152,                0.87384,                0.68738,                0.80636,                0.29615,                 2.1812,                 1.2685,                 2.3066,               0.001505,               0.001505,               0.001505
                      7,                 2.0894,                 1.2194,                 2.0279,                0.81068,                0.69008,                 0.7466,                0.24822,                 2.2109,                 1.3035,                  2.353,               0.001406,               0.001406,               0.001406
                      8,                 2.0666,                 1.1901,                 2.0128,                0.86504,                0.74046,                0.81131,                 0.2904,                 2.1609,                 1.2144,                 2.3041,               0.001307,               0.001307,               0.001307
                      9,                 2.0555,                 1.1914,                 1.9936,                0.88839,                0.74962,                0.82893,                0.30221,                 2.2031,                 1.2456,                 2.3295,               0.001208,               0.001208,               0.001208
                     10,                 2.0551,                 1.1693,                 1.9934,                0.85999,                0.68397,                0.76741,                0.26971,                 2.2272,                 1.2995,                 2.3478,               0.001109,               0.001109,               0.001109
                     11,                 2.0518,                 1.1215,                 2.2125,                0.88899,                0.70229,                0.80573,                0.29462,                 2.1804,                 1.3104,                 2.3113,                0.00101,                0.00101,                0.00101
                     12,                 2.0372,                 1.0784,                 2.1957,                0.87132,                0.75463,                0.83793,                0.30489,                 2.1861,                 1.1859,                 2.3106,               0.000911,               0.000911,               0.000911
                     13,                 2.0363,                 1.0843,                 2.1803,                0.90661,                0.72214,                0.82113,                0.29823,                 2.1914,                  1.242,                 2.3268,               0.000812,               0.000812,               0.000812
                     14,                 2.0316,                 1.0595,                 2.1657,                0.82143,                0.71603,                0.76867,                0.26413,                 2.2315,                  1.279,                 2.3633,               0.000713,               0.000713,               0.000713
                     15,                 2.0161,                 1.0485,                 2.1796,                0.89703,                0.75814,                0.85432,                0.32092,                 2.1964,                 1.1784,                  2.314,               0.000614,               0.000614,               0.000614
                     16,                 2.0104,                 1.0456,                 2.1722,                0.89303,                 0.7542,                 0.8441,                0.30878,                 2.1996,                 1.1809,                 2.3263,               0.000515,               0.000515,               0.000515
                     17,                 2.0118,                 1.0117,                 2.1673,                0.87937,                0.79019,                0.85617,                0.30876,                 2.1747,                 1.1428,                 2.3046,               0.000416,               0.000416,               0.000416
                     18,                 1.9887,                 1.0088,                 2.1595,                0.88987,                0.76183,                0.84594,                0.31458,                  2.176,                   1.14,                 2.3032,               0.000317,               0.000317,               0.000317
                     19,                 1.9861,                0.99866,                 2.1512,                0.87819,                0.77049,                0.83464,                 0.2964,                 2.2103,                 1.1417,                  2.346,               0.000218,               0.000218,               0.000218
                     20,                 1.9712,                0.98125,                 2.1365,                0.89985,                0.75878,                0.84762,                  0.303,                 2.2071,                 1.1375,                 2.3344,               0.000119,               0.000119,               0.000119
